err_5,lambdas,err_7,err_9
6.085634231572934e-05,0.8387096774193549,1.192092896062924e-07,5.960464483090178e-08
6.031990051275082e-05,0.8377321603128055,8.94069672185971e-08,8.940696721859709e-08
5.97834587097168e-05,0.8367546432062561,1.1920928955078125e-07,5.960464477539063e-08
5.91576099395752e-05,0.8357771260997068,5.960464477539064e-08,0.0
5.85615634918768e-05,0.8347996089931574,1.192092896062924e-07,8.940696721859709e-08
5.790591239929199e-05,0.833822091886608,1.1920928955078125e-07,0.0
5.73098659515936e-05,0.8328445747800587,1.4901161199398774e-07,8.940696721859709e-08
5.662441253662109e-05,0.8318670576735093,2.086162567138672e-07,2.9802322387695312e-08
5.59389591217041e-05,0.83088954056696,2.980232238769531e-07,2.9802322387695312e-08
5.5283308029174805e-05,0.8299120234604106,2.086162567138672e-07,5.960464477539063e-08
5.456805229192563e-05,0.8289345063538612,2.6822090154476896e-07,5.551115123125783e-17
5.382299423217773e-05,0.8279569892473118,3.278255462646485e-07,5.960464477539063e-08
5.310773849487305e-05,0.8269794721407624,3.5762786865234375e-07,2.9802322387695312e-08
5.2362680435236175e-05,0.826001955034213,4.172325134832455e-07,2.9802322443206464e-08
